ID,UFINCA,DERECHOS,PLANO_CAT,AREA_PL,AREA_ER,PROVINCIA,CANTON,DISTRITO,DIRECCION,TELEFONO,IMAGEN_PC,IMAGEN_EC,IMAGEN_EP,IMAGEN_PJ,OBSERVAC
"34",2-00181977,"1",A-0029061-2023,"182,618.00","182,618.00",ALAJUELA,ATENAS,ESCOBAL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00181977\A-0029061-2023.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00181977\2-00181977.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00181977\A-0029061-2023_EP.pdf,,
"69",1-00505269,"1",SJ-0405215-1997,"1,270.39","1,270.39",SAN JOSE,SANTA ANA ,BRASIL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00505269\SJ-0405215-1997.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00505269\1-00505269.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00505269\SJ-0405215-1997_EP.pdf,,
"70",2-00486387,"3",A-1467512-2010,"14,287.00","14,287.00",ALAJUELA,ALAJUELA,GUACIMA,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00486387\A-1467512-2010.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00486387\2-00486387.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00486387\A-1467512-2010_EP.pdf,,
"71",2-00499779,"1",A-1615501-2012,"660,860.00","658,330.00",ALAJUELA,ALAJUELA,TURRUCARES,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00499779\A-1615501-2012.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00499779\2-00499779.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00499779\A-1615501-2012_EP.pdf,,
"73",2-00329205,"1",A-0455826-1997,"9,398.33","8,083.33",ALAJUELA,ATENAS,JESUS,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00329205\A-0455826-1997.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00329205\2-00329205.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00329205\A-0455826-1997_EP.pdf,,
"36",2-00266346,"1",A-1814370-2015,"356,393.00","356,393.00",ALAJUELA,ALAJUELA,TURRUCARES,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00266346\A-1814370-2015.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00266346\2-00266346.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00266346\A-1814370-2015_EP.pdf,,
"38",1-00555111,"1",SJ-1653278-2013,"5,472.00","5,454.00",SAN JOSE,ESCAZU,SAN RAFAEL ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00555111\SJ-1653278-2013.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00555111\1-00555111.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00555111\SJ-1653278-2013_EP.pdf,,
"40",1-00545083,"1",SJ-0905880-2004,"6,796.52","6,622.52",SAN JOSE,ESCAZU,SAN RAFAEL ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00545083\SJ-0905880-2004.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00545083\1-00545083.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00545083\SJ-0905880-2004_EP.pdf,,
"41",1-00277472,"1",SJ-1793130-2015,"3,032.00","2,801.00",SAN JOSE,ESCAZU,SAN RAFAEL ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00277472\SJ-1793130-2015.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00277472\1-00277472.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\1-00277472\SJ-1793130-2015_EP.pdf,,
"46",2-00345576,"2",A-0887336-2003,"1,346.76","1,233.76",ALAJUELA,ATENAS,CONCEPCION,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00345576\A-0887336-2003.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00345576\2-00345576.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00345576\A-0887336-2003_EP.pdf,,
