ID,NUMERO,PROPIETARIO,NUMERO_EXP,UFINCA,PLANO_EXP,AREA_EXP,TIPO_EXP,SECCION,KM_INI,KM_FI,FECHA_IN,OFICIO_IN,FECHA_FI,FINCA_MAD,MONTO_AVA,NUM_AVA,ESTADO,IMAGEN_PE,OBSERVAC,PROCESO
"91",SI-21-9-B,,2022-24,,SJ-2307300-2021,"18",PARCIAL,"2",14+790,14+800,01-ENE-2022,,,1-00662255,"61455414.00",001-2023,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2307300-2021.pdf,,EN PROCESO
"92",SI-21-9-B,,2022-24,,SJ-2294986-2021,"1802",PARCIAL,"2",14+810,14+980,01-ENE-2022,,,1-00662255,"61455414.00",001-2023,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2294986-2021.pdf,,EN PROCESO
"93",SI-21-10,,2022-23,,SJ-2307352-2021,"421",PARCIAL,"2",14+890,14+940,01-ENE-2022,,,1-00074453,"9241301.00",002-2023,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2307352-2021.pdf,,EN PROCESO
"94",SII-21-10A,,2022-21,,SJ-2294068-2021,"204",PARCIAL,"2",14+930,14+960,01-ENE-2022,,,1-00074451-A,"9240301.00",004-2023,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2294068-2021.pdf,PLANO GENERO TITULO INCORRECTO,EN PROCESO
"95",SII-21-10B,,2022-19,,SJ-2312773-2021,"1176",PARCIAL,"2",14+960,15+120,01-ENE-2022,,,1-00311497,"99026832.00",005-2023,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2312773-2021.pdf,,EN PROCESO
"133",SIII-23-71-1,,,,A-0043518-2023,"21",PARCIAL,"3",56+110,56+120,05-JUN-2023,CNC-APD-0127-2023,,2-00284415,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0043518-2023.pdf,,SIN INICIAR
"66",SII-28,,2020-18,,A-2207175-2020,"126",PARCIAL,"3",55+310,55+355,01-ENE-2020,,,2-00155453,"1183560.00",022-2020,DETENIDO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2207175-2020.pdf,,EN PROCESO
"106",SI-21-25,,2022-13,,A-2300991-2021,"25",PARCIAL,"2",21+500,,01-ENE-2022,,,NO POSEE,"2410675.00",015-2022,DETENIDO,,PLANO INFO POSESORIA,
"135",SIII-23-73-1,,,,A-0037885-2023,"36",PARCIAL,"3",57-500,57+490,05-JUN-2023,CNC-APD-0127-2023,,2-00253834,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0037885-2023.pdf,,SIN INICIAR
"136",SIII-23-73-2,,,,A-0036233-2023,"51",PARCIAL,"3",57+490,57+520,05-JUN-2023,CNC-APD-0127-2023,,2-00555445,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0036233-2023.pdf,,SIN INICIAR
"137",SIII-23-73-3,,,,A-0037886-2023,"50",PARCIAL,"3",57+520,57+540,05-JUN-2023,CNC-APD-0127-2023,,2-00253834,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0037886-2023.pdf,,SIN INICIAR
"138",SIII-23-74-1,,,,A-0040272-2023,"277",PARCIAL,"3",57+545,57+600,05-JUN-2023,CNC-APD-0127-2023,,2-00393528,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0040272-2023.pdf,,SIN INICIAR
"139",SIII-23-75-1,,,,A-0039263-2023,"96",PARCIAL,"3",57+600,57+620,05-JUN-2023,CNC-APD-0127-2023,,2-00418114,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0039263-2023.pdf,,SIN INICIAR
